filename,completefilepath,fileextension,created_date_utc,lastmodified_date,filesize,confidentiality_score
budget_planner.xlsx,/home/user/Documents/Finance/budget_planner.xlsx,xlsx,13-08-2023 11:00,13-08-2023 11:00,900KB,0.4
personal_photo.jpeg,C:\Users\user\Pictures\personal_photo.jpeg,jpeg,12-08-2023 14:30,12-08-2023 14:30,3MB,0.25
family_video.mp4,/Users/user/Videos/family_video.mp4,mp4,11-08-2023 17:00,11-08-2023 17:00,700MB,0.2
favorite_song.mp3,/home/user/Music/favorite_song.mp3,mp3,10-08-2023 21:15,10-08-2023 21:15,5MB,0.15
system_config_backup.zip,C:\Windows\System32\config\system_config_backup.zip,zip,09-08-2023 08:30,09-08-2023 08:30,120MB,0.7
registry_backup.reg,/var/backups/registry_backup.reg,reg,08-08-2023 10:45,08-08-2023 10:45,80MB,0.65
boot_log.txt,/var/log/boot.log,txt,07-08-2023 13:00,07-08-2023 13:00,2MB,0.3
kernel_log.log,C:\Windows\Logs\kernel.log,log,06-08-2023 16:15,06-08-2023 16:15,5MB,0.35
event_log.evt,/var/log/event.evt,evt,05-08-2023 19:30,05-08-2023 19:30,10MB,0.4
security_audit_log.txt,C:\Windows\Security\Audits\security_audit_log.txt,txt,04-08-2023 22:45,04-08-2023 22:45,15MB,0.6
firewall_log.txt,/var/log/firewall/firewall_log.txt,txt,03-08-2023 09:00,03-08-2023 09:00,20MB,0.55
intrusion_detection_log.log,C:\ProgramData\IDS\Logs\intrusion_detection_log.log,log,02-08-2023 12:15,02-08-2023 12:15,25MB,0.5
monthly_report_august.pdf,/home/user/Documents/Reports/monthly_report_august.pdf,pdf,16-09-2023 14:00,16-09-2023 14:00,1.7MB,0.52
weekly_sales_data.csv,C:\Users\user\Documents\SalesData\weekly_sales_data.csv,csv,17-09-2023 10:00,17-09-2023 10:00,2.1MB,0.48
customer_database_dump.sql,/var/backups/customer_database_dump.sql,sql,18-09-2023 18:00,18-09-2023 18:00,60MB,0.97
employee_payroll_info.xlsx,C:\Users\HR\Documents\employee_payroll_info.xlsx,xlsx,19-09-2023 11:30,19-09-2023 11:30,3.5MB,0.94
company_financials_q2.pdf,/home/user/Documents/Finance/company_financials_q2.pdf,pdf,20-09-2023 15:45,20-09-2023 15:45,2.8MB,0.95
top_secret_project_docs.zip,C:\security\TopSecret\top_secret_project_docs.zip,zip,21-09-2023 09:15,21-09-2023 09:15,80MB,0.99
confidential_meeting_recap.docx,/Users/user/Meetings/Confidential/confidential_meeting_recap.docx,docx,22-09-2023 17:30,22-09-2023 17:30,1.2MB,0.92
hr_employee_data.csv,/home/user/HR/hr_employee_data.csv,csv,23-09-2023 12:00,23-09-2023 12:00,4MB,0.96
legal_documents_archive.zip,C:\legal\archive\legal_documents_archive.zip,zip,24-09-2023 19:45,24-09-2023 19:45,150MB,0.98
client_sensitive_info.txt,/Users/user/Clients/SensitiveData/client_sensitive_info.txt,txt,25-09-2023 14:15,25-09-2023 14:15,200KB,0.93
patient_records_2023.db,/home/user/Healthcare/patient_records_2023.db,db,26-09-2023 10:30,26-09-2023 10:30,70MB,0.97
student_grades_report.xlsx,C:\Users\Education\Grades\student_grades_report.xlsx,xlsx,27-09-2023 16:00,27-09-2023 16:00,3MB,0.91
secret_project_codename_alpha.docx,/Users/user/Projects/Secret/secret_project_codename_alpha.docx,docx,28-09-2023 11:45,28-09-2023 11:45,1.9MB,0.94
internal_memo_confidential.pdf,/home/user/Documents/Internal/internal_memo_confidential.pdf,pdf,29-09-2023 09:00,29-09-2023 09:00,1.1MB,0.9
financial_projections_2024.xlsx,C:\Users\FinanceDept\Projections\financial_projections_2024.xlsx,xlsx,30-09-2023 15:30,30-09-2023 15:30,4.2MB,0.96
marketing_campaign_results.csv,/Users/user/Marketing/CampaignResults/marketing_campaign_results.csv,csv,01-10-2023 12:45,01-10-2023 12:45,2.7MB,0.55
sales_pipeline_report.pdf,C:\Users\Sales\Reports\sales_pipeline_report.pdf,pdf,02-10-2023 19:00,02-10-2023 19:00,1.4MB,0.5
product_development_roadmap.pptx,/home/user/ProductDev/Roadmap/product_development_roadmap.pptx,pptx,03-10-2023 11:15,03-10-2023 11:15,3.8MB,0.45
customer_feedback_survey.xlsx,C:\Users\CustomerService\Feedback\customer_feedback_survey.xlsx,xlsx,04-10-2023 16:30,04-10-2023 16:30,2.3MB,0.4
website_analytics_report.pdf,/Users/user/WebAnalytics/Reports/website_analytics_report.pdf,pdf,05-10-2023 09:30,05-10-2023 09:30,1.6MB,0.35
social_media_performance.csv,C:\Users\MarketingTeam\SocialMedia\social_media_performance.csv,csv,06-10-2023 14:00,06-10-2023 14:00,1.9MB,0.3
competitor_analysis.docx,/home/user/MarketResearch/CompetitorAnalysis/competitor_analysis.docx,docx,07-10-2023 17:45,07-10-2023 17:45,1.3MB,0.38
market_trends_report.pdf,C:\Users\MarketResearch\Trends\market_trends_report.pdf,pdf,08-10-2023 10:15,08-10-2023 10:15,1.5MB,0.32
industry_news_summary.txt,/Users/user/News/IndustryNews/industry_news_summary.txt,txt,09-10-2023 12:30,09-10-2023 12:30,100KB,0.25
daily_briefing_notes.docx,C:\Users\ExecutiveOffice\Briefings\daily_briefing_notes.docx,docx,10-10-2023 08:00,10-10-2023 08:00,800KB,0.42
weekly_update_email.msg,/Users/user/Emails/WeeklyUpdates/weekly_update_email.msg,msg,11-10-2023 15:00,11-10-2023 15:00,250KB,0.3
meeting_agenda_next_week.docx,C:\Users\TeamLeads\Agendas\meeting_agenda_next_week.docx,docx,12-10-2023 11:30,12-10-2023 11:30,550KB,0.35
project_status_report.pdf,/home/user/Projects/StatusReports/project_status_report.pdf,pdf,13-10-2023 19:30,13-10-2023 19:30,1.2MB,0.4
task_list_project_alpha.txt,C:\Users\ProjectManagers\TaskList\task_list_project_alpha.txt,txt,14-10-2023 14:45,14-10-2023 14:45,60KB,0.32
action_items_meeting.docx,/Users/user/Meetings/ActionItems/action_items_meeting.docx,docx,15-10-2023 10:00,15-10-2023 10:00,700KB,0.38
bug_report_v1.0.txt,C:\Users\QA_Team\BugReports\bug_report_v1.0.txt,txt,16-10-2023 17:15,16-10-2023 17:15,80KB,0.28
test_cases_suite.xlsx,/home/user/QA/TestCases/test_cases_suite.xlsx,xlsx,17-10-2023 12:30,17-10-2023 12:30,1.5MB,0.33
release_notes_v2.0.txt,C:\Users\DevTeam\ReleaseNotes\release_notes_v2.0.txt,txt,18-10-2023 09:45,18-10-2023 09:45,90KB,0.25
code_documentation.docx,/home/user/DevDocs/code_documentation.docx,docx,19-10-2023 15:00,19-10-2023 15:00,1.1MB,0.3
api_specifications.pdf,C:\Users\Developers\APISpecs\api_specifications.pdf,pdf,20-10-2023 11:00,20-10-2023 11:00,1.3MB,0.35
system_architecture_diagram.vsd,/home/user/SystemDesign/Architecture/system_architecture_diagram.vsd,vsd,21-10-2023 18:30,21-10-2023 18:30,2MB,0.4
network_diagram.png,C:\Users\IT_Department\NetworkDiagrams\network_diagram.png,png,22-10-2023 14:00,22-10-2023 14:00,500KB,0.32
server_inventory.csv,/home/user/IT_Assets/ServerInventory/server_inventory.csv,csv,23-10-2023 09:15,23-10-2023 09:15,1.8MB,0.45
software_licenses.xlsx,C:\Users\LicenseAdmin\SoftwareLicenses\software_licenses.xlsx,xlsx,24-10-2023 16:45,24-10-2023 16:45,2.5MB,0.5
vendor_contracts.pdf,/home/user/Legal/Contracts/vendor_contracts.pdf,pdf,25-10-2023 12:00,25-10-2023 12:00,1.6MB,0.55
supplier_agreements.docx,C:\Users\Procurement\Agreements\supplier_agreements.docx,docx,26-10-2023 19:15,26-10-2023 19:15,1.2MB,0.52
purchase_orders_2023.xlsx,/home/user/Finance/PurchaseOrders/purchase_orders_2023.xlsx,xlsx,27-10-2023 10:30,27-10-2023 10:30,2.9MB,0.48
invoices_received.pdf,C:\Users\AccountsPayable\Invoices\invoices_received.pdf,pdf,28-10-2023 15:45,28-10-2023 15:45,1.7MB,0.45
expense_reports_october.xlsx,/home/user/Finance/ExpenseReports/expense_reports_october.xlsx,xlsx,29-10-2023 11:00,29-10-2023 11:00,2.1MB,0.42
travel_policy_document.pdf,C:\Users\HR_Policies\TravelPolicy\travel_policy_document.pdf,pdf,30-10-2023 18:00,30-10-2023 18:00,1.4MB,0.38
employee_handbook_v2.docx,/home/user/HR/EmployeeHandbook/employee_handbook_v2.docx,docx,31-10-2023 13:15,31-10-2023 13:15,1.9MB,0.35
voter_id_card_front.pdf,C:\Users\user\Documents\IDs\voter_id_card_front.pdf,pdf,01-11-2023 10:15,01-11-2023 10:15,600KB,0.83
driving_license_back.jpeg,/Users/Shared/Documents/driving_license_back.jpeg,jpeg,25-10-2023 14:45,25-10-2023 14:45,300KB,0.78
birth_certificate_scan.docx,/home/user/Documents/Personal/birth_certificate_scan.docx,docx,05-11-2023 09:30,05-11-2023 09:30,800KB,0.73
marriage_certifcate.pdf,C:\Users\user\Documents\FamilyDocs\marriage_certifcate.pdf,pdf,10-10-2023 18:50,10-10-2023 18:50,550KB,0.76
property_deed_house.pdf,/Users/user/Documents/RealEstate/property_deed_house.pdf,pdf,12-11-2023 11:00,12-11-2023 11:00,950KB,0.81
investment_portfolio_summary.xlsx,C:\Users\user\Documents\Finance\investment_portfolio_summary.xlsx,xlsx,18-10-2023 15:20,18-10-2023 15:20,2.2MB,0.86
tax_form_w2_2023.pdf,/home/user/Documents/Tax/tax_form_w2_2023.pdf,pdf,20-11-2023 12:45,20-11-2023 12:45,1.6MB,0.89
tax_form_1099_misc.pdf,C:\Users\user\Documents\Tax\tax_form_1099_misc.pdf,pdf,05-10-2023 16:10,05-10-2023 16:10,1.3MB,0.87
invoice_12345.pdf,/Users/user/Documents/Invoices/invoice_12345.pdf,pdf,25-11-2023 19:30,25-11-2023 19:30,700KB,0.65
receipt_grocery_store.jpeg,C:\Users\user\Documents\Receipts\receipt_grocery_store.jpeg,jpeg,29-10-2023 08:00,29-10-2023 08:00,200KB,0.15
monthly_budget_nov.xlsx,/home/user/Documents/Finance/monthly_budget_nov.xlsx,xlsx,08-11-2023 14:00,08-11-2023 14:00,1.1MB,0.45
python_code_project_x.py,C:\Users\user\Documents\Code\ProjectX\python_code_project_x.py,py,15-11-2023 17:40,15-11-2023 17:40,60KB,0.38
java_script_functions.js,/Users/user/WebDev/Scripts/java_script_functions.js,js,22-10-2023 09:15,22-10-2023 09:15,45KB,0.35
c_sharp_class_library.dll,C:\Users\user\Documents\DevLibs\c_sharp_class_library.dll,dll,03-11-2023 20:00,03-11-2023 20:00,500KB,0.42
html_template_email.html,/home/user/WebTemplates/html_template_email.html,html,08-10-2023 12:30,08-10-2023 12:30,30KB,0.28
css_stylesheet_main.css,C:\Users\user\Documents\WebStyles\css_stylesheet_main.css,css,28-11-2023 15:55,28-11-2023 15:55,25KB,0.25
config_file_app.yml,/etc/app/config_file_app.yml,yml,15-10-2023 11:45,15-10-2023 11:45,12KB,0.52
database_schema_v2.sql,C:\backups\database_schema_v2.sql,sql,30-11-2023 18:10,30-11-2023 18:10,75MB,0.95
website_images_backup.zip,/var/backups/website_images_backup.zip,zip,02-10-2023 22:30,02-10-2023 22:30,120MB,0.88
email_backup_nov.pst,C:\Users\user\Outlook Files\email_backup_nov.pst,pst,07-11-2023 15:30,07-11-2023 15:30,250MB,0.77
browser_bookmarks.json,/Users/user/Library/Application Support/Browser/browser_bookmarks.json,json,28-10-2023 19:45,28-10-2023 19:45,25MB,0.67
chat_history_telegram.txt,/home/user/.purple/logs/chat_history_telegram.txt,txt,18-11-2023 21:15,18-11-2023 21:15,18MB,0.61
contacts_list_work.vcf,C:\Users\user\Contacts\contacts_list_work.vcf,vcf,12-10-2023 13:55,12-10-2023 13:55,600KB,0.71
calendar_events_work.ics,/Users/user/Calendar/calendar_events_work.ics,ics,22-11-2023 09:45,22-11-2023 09:45,220KB,0.57
notes_app_backup.db,/home/user/.config/notesapp/notes_app_backup.db,db,07-10-2023 16:25,07-10-2023 16:25,12MB,0.65
project_plan_v3_draft.docx,C:\Users\user\Documents\Projects\project_plan_v3_draft.docx,docx,02-11-2023 11:50,02-11-2023 11:50,700KB,0.44
meeting_summary_1101.txt,/Users/user/Meetings/meeting_summary_1101.txt,txt,01-11-2023 14:30,01-11-2023 14:30,35KB,0.37
presentation_deck_sales.pptx,/home/user/Presentations/presentation_deck_sales.pptx,pptx,19-10-2023 18:05,19-10-2023 18:05,4.5MB,0.41
image_library_backup.zip,C:\Users\user\Pictures\image_library_backup.zip,zip,26-11-2023 10:40,26-11-2023 10:40,180MB,0.32
video_clips_holiday.mp4,/Users/user/Videos/video_clips_holiday.mp4,mp4,03-10-2023 13:20,03-10-2023 13:20,600MB,0.27
music_playlist_chill.mp3,/home/user/Music/music_playlist_chill.mp3,mp3,11-11-2023 19:50,11-11-2023 19:50,900MB,0.21
software_setup_v2.exe,C:\Users\user\Downloads\software_setup_v2.exe,exe,16-10-2023 12:35,16-10-2023 12:35,30MB,0.17
game_installer_mac.dmg,/Users/user/Downloads/game_installer_mac.dmg,dmg,29-11-2023 16:00,29-11-2023 16:00,350MB,0.11
driver_pack_usb.zip,/home/user/Downloads/driver_pack_usb.zip,zip,09-10-2023 08:25,09-10-2023 08:25,85MB,0.07
readme_project_abc.txt,C:\Users\user\Documents\ProjectABC\readme_project_abc.txt,txt,17-11-2023 11:40,17-11-2023 11:40,25KB,0.14
license_agreement_xyz.txt,/Users/user/Documents/SoftwareXYZ/license_agreement_xyz.txt,txt,26-10-2023 14:55,26-10-2023 14:55,12KB,0.09
changelog_v1_2_0.md,/home/user/Code/ProjectZ/changelog_v1_2_0.md,md,04-11-2023 16:10,04-11-2023 16:10,18KB,0.19
todo_list_personal.txt,C:\Users\user\Desktop\todo_list_personal.txt,txt,21-10-2023 09:10,21-10-2023 09:10,6KB,0.24
shopping_list_online.txt,/Users/user/Documents/shopping_list_online.txt,txt,13-11-2023 12:25,13-11-2023 12:25,4KB,0.17
grocery_items_list.txt,/home/user/Notes/grocery_items_list.txt,txt,14-10-2023 15:40,14-10-2023 15:40,3KB,0.11
weekly_report_template_v2.docx,C:\Users\user\Documents\Templates\weekly_report_template_v2.docx,docx,24-11-2023 18:55,24-11-2023 18:55,450KB,0.29
invoice_template_proforma.xlsx,/Users/user/Documents/Templates/invoice_template_proforma.xlsx,xlsx,31-10-2023 20:10,31-10-2023 20:10,650KB,0.34
budget_planner_2024.xlsx,/home/user/Documents/Finance/budget_planner_2024.xlsx,xlsx,09-11-2023 11:10,09-11-2023 11:10,1.0MB,0.39
personal_photo_profile.jpeg,C:\Users\user\Pictures\personal_photo_profile.jpeg,jpeg,06-10-2023 14:40,06-10-2023 14:40,3.5MB,0.24
family_video_christmas.mp4,/Users/user/Videos/family_video_christmas.mp4,mp4,19-11-2023 17:10,19-11-2023 17:10,750MB,0.19
favorite_song_remix.mp3,/home/user/Music/favorite_song_remix.mp3,mp3,23-10-2023 21:25,23-10-2023 21:25,6MB,0.14
system_config_backup_1105.zip,C:\Windows\System32\config\system_config_backup_1105.zip,zip,05-11-2023 08:40,05-11-2023 08:40,130MB,0.69
registry_backup_1020.reg,/var/backups/registry_backup_1020.reg,reg,20-10-2023 10:55,20-10-2023 10:55,90MB,0.64
boot_log_current.txt,/var/log/boot_current.log,txt,14-11-2023 13:10,14-11-2023 13:10,2.5MB,0.29
kernel_log_error.log,C:\Windows\Logs\kernel_error.log,log,27-10-2023 16:25,27-10-2023 16:25,6MB,0.34
event_log_security.evt,/var/log/event_security.evt,evt,27-11-2023 19:40,27-11-2023 19:40,12MB,0.39
security_audit_log_1125.txt,C:\Windows\Security\Audits\security_audit_log_1125.txt,txt,25-11-2023 22:55,25-11-2023 22:55,18MB,0.59
firewall_log_today.txt,/var/log/firewall/firewall_log_today.txt,txt,04-10-2023 09:10,04-10-2023 09:10,22MB,0.54
intrusion_detection_log_alert.log,C:\ProgramData\IDS\Logs\intrusion_detection_log_alert.log,log,06-11-2023 12:25,06-11-2023 12:25,30MB,0.49
monthly_report_october.pdf,/home/user/Documents/Reports/monthly_report_october.pdf,pdf,17-10-2023 14:10,17-10-2023 14:10,1.9MB,0.51
weekly_sales_data_nov_week1.csv,C:\Users\user\Documents\SalesData\weekly_sales_data_nov_week1.csv,csv,10-11-2023 10:10,10-11-2023 10:10,2.3MB,0.47
customer_database_backup_1115.sql,/var/backups/customer_database_backup_1115.sql,sql,15-11-2023 18:10,15-11-2023 18:10,70MB,0.96
employee_payroll_info_nov.xlsx,C:\Users\HR\Documents\employee_payroll_info_nov.xlsx,xlsx,21-11-2023 11:40,21-11-2023 11:40,4MB,0.93
company_financials_q3.pdf,/home/user/Documents/Finance/company_financials_q3.pdf,pdf,24-10-2023 15:55,24-10-2023 15:55,3MB,0.94
top_secret_project_plan_docs.zip,C:\security\TopSecret\top_secret_project_plan_docs.zip,zip,09-11-2023 09:25,09-11-2023 09:25,90MB,0.98
confidential_meeting_minutes_1108.docx,/Users/user/Meetings/Confidential/confidential_meeting_minutes_1108.docx,docx,08-11-2023 17:40,08-11-2023 17:40,1.3MB,0.91
hr_employee_data_current.csv,/home/user/HR/hr_employee_data_current.csv,csv,30-10-2023 12:10,30-10-2023 12:10,4.5MB,0.95
legal_documents_archive_2023.zip,C:\legal\archive\legal_documents_archive_2023.zip,zip,23-11-2023 19:55,23-11-2023 19:55,180MB,0.97
client_sensitive_info_list.txt,/Users/user/Clients/SensitiveData/client_sensitive_info_list.txt,txt,11-10-2023 14:25,11-10-2023 14:25,250KB,0.92
patient_records_nov_2023.db,/home/user/Healthcare/patient_records_nov_2023.db,db,16-11-2023 10:40,16-11-2023 10:40,80MB,0.96
student_grades_report_fall.xlsx,C:\Users\Education\Grades\student_grades_report_fall.xlsx,xlsx,01-10-2023 16:10,01-10-2023 16:10,3.5MB,0.9
secret_project_codename_beta.docx,/Users/user/Projects/Secret/secret_project_codename_beta.docx,docx,28-11-2023 11:55,28-11-2023 11:55,2.1MB,0.93
internal_memo_private.pdf,/home/user/Documents/Internal/internal_memo_private.pdf,pdf,13-10-2023 09:10,13-10-2023 09:10,1.2MB,0.89
financial_projections_fy24.xlsx,C:\Users\FinanceDept\Projections\financial_projections_fy24.xlsx,xlsx,30-11-2023 15:40,30-11-2023 15:40,4.5MB,0.95
marketing_campaign_analysis.csv,/Users/user/Marketing/CampaignResults/marketing_campaign_analysis.csv,csv,25-10-2023 12:55,25-10-2023 12:55,3MB,0.54
sales_pipeline_forecast.pdf,C:\Users\Sales\Reports\sales_pipeline_forecast.pdf,pdf,02-11-2023 19:10,02-11-2023 19:10,1.5MB,0.49
product_development_plan.pptx,/home/user/ProductDev/Roadmap/product_development_plan.pptx,pptx,08-10-2023 11:25,08-10-2023 11:25,4MB,0.44
customer_feedback_report.xlsx,C:\Users\CustomerService\Feedback\customer_feedback_report.xlsx,xlsx,20-11-2023 16:40,20-11-2023 16:40,2.5MB,0.39
website_traffic_report.pdf,/Users/user/WebAnalytics/Reports/website_traffic_report.pdf,pdf,19-10-2023 09:40,19-10-2023 09:40,1.7MB,0.34
social_media_metrics.csv,C:\Users\MarketingTeam\SocialMedia\social_media_metrics.csv,csv,12-11-2023 14:10,12-11-2023 14:10,2.1MB,0.29
competitor_analysis_report.docx,/home/user/MarketResearch/CompetitorAnalysis/competitor_analysis_report.docx,docx,03-10-2023 17:55,03-10-2023 17:55,1.4MB,0.37
market_trends_analysis.pdf,C:\Users\MarketResearch\Trends\market_trends_analysis.pdf,pdf,25-11-2023 10:25,25-11-2023 10:25,1.6MB,0.31
industry_news_digest.txt,/Users/user/News/IndustryNews/industry_news_digest.txt,txt,15-10-2023 12:40,15-10-2023 12:40,120KB,0.24
daily_briefing_summary.docx,C:\Users\ExecutiveOffice\Briefings\daily_briefing_summary.docx,docx,07-11-2023 08:10,07-11-2023 08:10,900KB,0.41
weekly_update_email_summary.msg,/Users/user/Emails/WeeklyUpdates/weekly_update_email_summary.msg,msg,28-10-2023 15:10,28-10-2023 15:10,300KB,0.29
meeting_agenda_next_month.docx,C:\Users\TeamLeads\Agendas\meeting_agenda_next_month.docx,docx,19-11-2023 11:40,19-11-2023 11:40,600KB,0.34
project_status_update.pdf,/home/user/Projects/StatusReports/project_status_update.pdf,pdf,09-10-2023 19:40,09-10-2023 19:40,1.3MB,0.39
task_list_project_beta.txt,C:\Users\ProjectManagers\TaskList\task_list_project_beta.txt,txt,03-11-2023 14:55,03-11-2023 14:55,70KB,0.31
action_items_meeting_summary.docx,/Users/user/Meetings/ActionItems/action_items_meeting_summary.docx,docx,21-10-2023 10:10,21-10-2023 10:10,800KB,0.37
bug_report_v1_1.txt,C:\Users\QA_Team\BugReports\bug_report_v1_1.txt,txt,14-11-2023 17:25,14-11-2023 17:25,90KB,0.27
test_cases_suite_v2.xlsx,/home/user/QA/TestCases/test_cases_suite_v2.xlsx,xlsx,17-10-2023 12:40,17-10-2023 12:40,1.6MB,0.32
release_notes_v2_1.txt,C:\Users\DevTeam\ReleaseNotes\release_notes_v2_1.txt,txt,27-11-2023 09:55,27-11-2023 09:55,100KB,0.24
code_documentation_api.docx,/home/user/DevDocs/code_documentation_api.docx,docx,05-10-2023 15:10,05-10-2023 15:10,1.2MB,0.29
api_specifications_v2.pdf,C:\Users\Developers\APISpecs\api_specifications_v2.pdf,pdf,11-11-2023 11:10,11-11-2023 11:10,1.4MB,0.34
system_architecture_design.vsd,/home/user/SystemDesign/Architecture/system_architecture_design.vsd,vsd,29-10-2023 18:40,29-10-2023 18:40,2.2MB,0.39
